t,accel_x,vel
0.0,-0.5,30.0
0.5,-0.5,29.9
1.0,-0.5,29.8
1.5,-0.5,29.7
2.0,-0.5,29.6
2.5,-0.5,29.5
3.0,-0.5,29.4
3.5,-0.5,29.3
4.0,-0.5,29.2
4.5,-0.5,29.1
5.0,-0.5,29.0
5.5,-0.5,28.9
6.0,-0.5,28.8
6.5,-0.5,28.7
7.0,-0.5,28.6
7.5,-0.5,28.5
8.0,-0.5,28.4
8.5,-0.5,28.3
9.0,-0.5,28.2
9.5,-0.5,28.1
10.0,-0.5,28.0
10.5,-0.5,27.9
11.0,-0.5,27.8
11.5,-0.5,27.7
12.0,-0.5,27.6
12.5,-0.5,27.5
13.0,-0.5,27.4
13.5,-0.5,27.3
14.0,-0.5,27.2
14.5,-0.5,27.1
15.0,-0.5,27.0
15.5,-0.5,26.9
16.0,-0.5,26.8
16.5,-0.5,26.7
17.0,-0.5,26.6
17.5,-0.5,26.5
18.0,-0.5,26.4
18.5,-0.5,26.3
19.0,-0.5,26.2
19.5,-0.5,26.1
20.0,-13.0,26.0
20.5,-13.0,25.9
21.0,-13.0,25.8
21.5,-13.0,25.7
22.0,-13.0,25.6
22.5,-0.5,25.5
23.0,-0.5,25.4
23.5,-0.5,25.3
24.0,-0.5,25.2
24.5,-0.5,25.1
25.0,-0.5,25.0
25.5,-0.5,24.9
26.0,-0.5,24.8
26.5,-0.5,24.7
27.0,-0.5,24.6
27.5,-0.5,24.5
28.0,-0.5,24.4
28.5,-0.5,24.3
29.0,-0.5,24.2
29.5,-0.5,24.1
30.0,-0.5,24.0
30.5,-0.5,23.9
31.0,-0.5,23.8
31.5,-0.5,23.7
32.0,-0.5,23.6
32.5,-0.5,23.5
33.0,-0.5,23.4
33.5,-0.5,23.3
34.0,-0.5,23.2
34.5,-0.5,23.1
35.0,-0.5,23.0
35.5,-0.5,22.9
36.0,-0.5,22.8
36.5,-0.5,22.7
37.0,-0.5,22.6
37.5,-0.5,22.5
38.0,-0.5,22.4
38.5,-0.5,22.3
39.0,-0.5,22.2
39.5,-0.5,22.1
40.0,-0.5,22.0
40.5,-0.5,21.9
41.0,-0.5,21.8
41.5,-0.5,21.7
42.0,-0.5,21.6
42.5,-0.5,21.5
43.0,-0.5,21.4
43.5,-0.5,21.3
44.0,-0.5,21.2
44.5,-0.5,21.1
45.0,-11.5,21.0
45.5,-11.5,20.9
46.0,-11.5,20.8
46.5,-11.5,20.7
47.0,-0.5,20.6
47.5,-0.5,20.5
48.0,-0.5,20.4
48.5,-0.5,20.3
49.0,-0.5,20.2
49.5,-0.5,20.1
50.0,-0.5,20.0
50.5,-0.5,19.9
51.0,-0.5,19.8
51.5,-0.5,19.7
52.0,-0.5,19.6
52.5,-0.5,19.5
53.0,-0.5,19.4
53.5,-0.5,19.3
54.0,-0.5,19.2
54.5,-0.5,19.1
55.0,-0.5,19.0
55.5,-0.5,18.9
56.0,-0.5,18.8
56.5,-0.5,18.7
57.0,-0.5,18.6
57.5,-0.5,18.5
58.0,-0.5,18.4
58.5,-0.5,18.3
59.0,-0.5,18.2
59.5,-0.5,18.1
